Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
RenaultDusterRXZ85PS,2017,8.67,11.2,32783,Diesel,Dealer,Manual,0
MarutiVitaraBrezza,2019,9.35,9.8,4566,Diesel,Dealer,Manual,0
MarutiDzireVDI,2018,6.53,8.05,13492,Diesel,Dealer,Automatic,0
MarutiCelerioVXI,2018,4.75,5.74,20324,Petrol,Dealer,Manual,0
MarutiErtiga,2014,4.79,7.46,62769,Petrol,Dealer,Manual,0
HondaBrio1.2SMTI,2015,3.38,5.23,29104,Petrol,Dealer,Manual,0
MarutiSwiftDzireVDIBS,2012,3.33,7.58,95472,Diesel,Dealer,Manual,0
HondaCityVXMT,2015,6.06,11.46,90509,Petrol,Dealer,Manual,0
DatsunGoREMIX,2018,3.3,5.04,34119,Petrol,Dealer,Automatic,0
MarutiSwift,2019,6.61,6.81,27055,Petrol,Dealer,Manual,0
MarutiRitz,2012,2.71,5.7,16061,Diesel,Dealer,Manual,0
SkodaLauraAMBITION2.0TDICR,2012,3.22,16.32,109457,Diesel,Dealer,Manual,1
MarutiWagonR1.0,2010,1.49,5.49,62834,Petrol,Dealer,Manual,3
DatsunGoREMIX,2018,2.83,4.21,19549,Petrol,Dealer,Manual,0
MarutiAlto800,2019,3.24,3.39,3495,Petrol,Dealer,Manual,0
HondaBrio1.2SMTI,2012,2.77,5.23,23210,Petrol,Dealer,Manual,0
HondaCitySVMT,2016,7.31,11.46,52528,Petrol,Dealer,Manual,0
HyundaiElitei20SPORTZ,2016,5.22,7.03,13900,Petrol,Dealer,Manual,0
HyundaiVerna1.6SX(O)CRDI,2017,9.55,13.03,50529,Diesel,Dealer,Manual,0
VolkswagenPoloCOMFORTLINE1.2L,2010,2.72,6.17,45711,Petrol,Dealer,Manual,0
MarutiBalenoDELTADDIS,2018,6,7.01,24274,Diesel,Dealer,Manual,0
MarutiSwift,2012,4.61,6.81,60626,Petrol,Dealer,Manual,0
MarutiWagonR1.0LXI,2017,3.81,5.47,29735,Petrol,Dealer,Manual,1
ToyotaEtiosVX,2015,4.72,7.93,56782,Diesel,Dealer,Manual,0
MarutiEeco5STRWITHAC,2015,3.43,4.7,29027,Petrol,Dealer,Manual,0
MahindraKuv100K6D6,2016,4.04,6.78,38594,Diesel,Dealer,Manual,0
HondaBrio1.2SMTI,2013,3.01,5.23,43702,Petrol,Dealer,Manual,3
MarutiSwift,2014,3.76,6.81,68628,Diesel,Dealer,Manual,0
MarutiErtigaVDI,2018,7.48,9.87,69604,Diesel,Dealer,Manual,0
VolkswagenPoloHIGHLINE1.2L,2010,3.2,7.32,125435,Petrol,Dealer,Manual,0
HondaCitySMT,2009,2.57,8.84,85362,Petrol,Dealer,Manual,1
MarutiAltoK10VXI(O),2018,3.88,4.31,39845,Petrol,Dealer,Manual,0
HyundaiCreta1.6SX,2016,10.17,14.06,67987,Diesel,Dealer,Manual,0
MarutiSwiftDzireVXI1.2BS,2011,2.82,6.58,90479,Petrol,Dealer,Manual,0
MarutiSwiftDzireLDIBS,2014,3.4,6.3,123363,Diesel,Dealer,Manual,1
MarutiEeco5STRWITHAC,2014,2.78,4.7,50754,Petrol,Dealer,Manual,0
MarutiWagonR1.0,2010,2.35,5.49,93112,Petrol,Dealer,Manual,0
HyundaiEonERA,2012,2.02,3.86,50877,Petrol,Dealer,Manual,0
MarutiCiazZETA1.5SHVSVVT,2018,9.36,11.01,11400,Petrol,Dealer,Manual,0
Hyundaii20ASTA1.4,2012,3.56,8.44,68559,Diesel,Dealer,Manual,0
MarutiAlto,2011,1.56,3.94,41402,Petrol,Dealer,Manual,0
VolkswagenJettaCOMFORTLINE2.0L,2012,3.82,16.34,105572,Diesel,Dealer,Manual,1
HyundaiGrandi10SPORTZ1.2KAPPA,2016,4.8,6.38,25338,Petrol,Dealer,Manual,0
HyundaiEonMAGNA,2014,2.11,3.97,28323,Petrol,Dealer,Manual,0
MarutiSwift,2013,3.77,6.81,111379,Petrol,Dealer,Manual,0
MarutiWagonR1.0LXI,2013,1.81,5.47,153709,Petrol,Dealer,Manual,0
Hyundaii10SPORTZ1.2AT,2013,4.08,5.34,22768,Petrol,Dealer,Automatic,0
VolkswagenPoloCOMFORTLINE1.5L,2015,4.24,8.56,133921,Diesel,Dealer,Manual,0
SkodaRapid1.5TDIMT,2017,7.52,10.01,40267,Diesel,Dealer,Manual,0
RenaultDusterRXLAMT110,2016,4.95,10.01,85369,Diesel,Dealer,Automatic,0
MahindraScorpio,2017,11.92,13.53,23836,Diesel,Dealer,Manual,0
MarutiWagonR1.0,2013,3.46,5.49,30361,Petrol,Dealer,Manual,0
MarutiDzire,2017,5.83,6.24,12400,Petrol,Dealer,Manual,0
TataHexaVaricor400,2018,13.8,17.93,27929,Diesel,Dealer,Automatic,0
MarutiRitz,2012,2.24,5.7,80575,Diesel,Dealer,Manual,1
MarutiSCrossZETA,2017,6.81,10.06,42045,Diesel,Dealer,Manual,0
MarutiRitz,2012,2.12,5.7,72428,Diesel,Dealer,Manual,0
HyundaiSantroXing,2010,1.45,3.8,98143,Petrol,Dealer,Manual,0
MarutiSwiftDzireVDIBS,2012,3.53,8.35,98618,Diesel,Dealer,Manual,0
MarutiRitz,2013,2.16,5.7,97984,Diesel,Dealer,Manual,0
HyundaiVernaFLUIDIC1.6SXVTVT,2013,4.3,7.23,51641,Petrol,Dealer,Manual,0
MarutiSwiftVXI,2018,5.04,5.91,94628,Petrol,Dealer,Automatic,0
MarutiEeco5STRCNGWITHAC,2015,3.16,5.94,45174,Petrol,Dealer,Manual,0
ToyotaCorollaAltisVL,2011,4.62,20.2,86288,Petrol,Dealer,Automatic,1
Hyundaii10MAGNA1.2,2011,3.43,4.62,11234,Petrol,Dealer,Manual,0
MahindraTUV300,2015,6.35,8.59,36705,Diesel,Dealer,Manual,0
HondaCityVXMT,2015,7.26,12.92,28410,Petrol,Dealer,Manual,1
MarutiVitaraBrezzaZDI,2019,9.32,10.02,20273,Diesel,Dealer,Manual,0
MarutiWagonR,2008,2.02,5.47,54572,Petrol,Dealer,Manual,0
VolkswagenVentoHIGHLINE,2013,3.41,10.01,87834,Diesel,Dealer,Manual,0
MarutiAlto800,2015,2.23,3.94,33341,Petrol,Dealer,Manual,0
HyundaiSantroXingGL,2011,1.93,3.8,136543,Petrol,Dealer,Manual,0
FordFigo1.2ZXI,2010,1.6,5.14,102644,Petrol,Dealer,Manual,1
MarutiNewWagon-RVXI,2019,4.73,5.91,44040,Petrol,Dealer,Manual,0
MarutiWagonR1.0LXI,2012,2.39,5.47,88691,Petrol,Dealer,Manual,1
MahindraTharCRDE4X4BS,2019,9.5,9.8,7961,Diesel,Dealer,Manual,0
MarutiSwiftDzireVDIBS,2012,3.26,6.78,57730,Diesel,Dealer,Manual,0
MarutiSwiftDzire,2012,3.84,6.23,72105,Diesel,Dealer,Manual,0
VolkswagenPoloHIGHLINE1.2L,2011,3.17,6.17,50372,Petrol,Dealer,Manual,1
HondaCityVXMTO,2016,7.06,12.78,93031,Diesel,Dealer,Manual,0
Hyundaii20ASTA,2012,2.83,8.88,46121,Petrol,Dealer,Manual,3
HyundaiEonERA,2012,1.93,3.37,57951,Petrol,Dealer,Manual,3
MarutiAltoK10VXI,2015,3.1,4.18,26025,Petrol,Dealer,Manual,1
HondaBrio1.2SMTI,2013,3.06,5.23,64537,Petrol,Dealer,Manual,0
MarutiIGNISDELTA1.2K12,2017,5.02,6.3,17424,Petrol,Dealer,Automatic,0
VolkswagenVentoHIGHLINE,2010,2.44,10.01,87793,Petrol,Dealer,Manual,0
MarutiErtiga,2012,3.8,8.35,81227,Diesel,Dealer,Manual,1
MarutiAlto800,2017,3.32,3.92,3201,Petrol,Dealer,Manual,0
HyundaiSantroXing,2009,1.2,3.8,82748,Petrol,Dealer,Manual,1
HyundaiSantroXingGL,2012,1.77,3.8,60908,Petrol,Dealer,Manual,0
VolkswagenPoloCOMFORTLINE1.2L,2013,2.56,6.17,63748,Petrol,Dealer,Manual,0
AudiQ335TDI,2015,20.08,39.93,87155,Diesel,Dealer,Automatic,0
AudiQ335TDI,2015,25.97,39.93,30500,Diesel,Dealer,Automatic,0
MarutiEeco5STRCNGWITHAC,2017,3.99,5.94,72425,Petrol,Dealer,Manual,0
HyundaiVernaFLUIDIC1.6EXCRDI,2013,3.77,9.29,119439,Diesel,Dealer,Automatic,1
MarutiVitaraBrezza,2016,5.98,8.15,60027,Diesel,Dealer,Manual,0
FordEcosport1.5TITANIUMTIVCT,2014,5.44,11.4,71487,Petrol,Dealer,Automatic,1
MarutiZenEstilo,2011,2.14,4.44,31830,Petrol,Dealer,Manual,1
DatsunGo,2014,1.89,4.03,27123,Petrol,Dealer,Manual,0
MarutiSwift,2012,3.01,6.81,112723,Diesel,Dealer,Manual,0
HondaAmaze1.2EMTI,2015,3.71,6.58,45940,Petrol,Dealer,Manual,0
MarutiCelerioZXI,2017,3.96,5.94,25538,Petrol,Dealer,Automatic,0
BMW3Series320D,2012,9.54,41.4,104921,Diesel,Dealer,Automatic,3
Hyundaii10MAGNA1.1,2014,3.06,4.62,31584,Petrol,Dealer,Manual,0
MarutiWagonR1.0LXI,2015,3.24,5.47,26141,Petrol,Dealer,Manual,0
HyundaiCreta1.6SXPLUS,2017,9.31,12.03,41831,Petrol,Dealer,Manual,0
MarutiAltoK10,2017,3.22,3.63,19792,Petrol,Dealer,Manual,1
FordEcosport1.5TITANIUMTIVCT,2015,5.56,8.19,46594,Petrol,Dealer,Automatic,0
FordEcosport,2018,7.33,9.4,20861,Petrol,Dealer,Manual,1
MarutiSwiftDzireVXI1.2BS,2015,4.84,5.7,39550,Petrol,Dealer,Manual,0
HondaCityZX1.5,2007,1.25,17.44,188651,Petrol,Dealer,Manual,0
VolkswagenPoloHIGHLINE1.2L,2016,4.66,6.17,45500,Petrol,Dealer,Manual,0
MarutiWagonR1.0LXI,2018,4.79,5.47,28560,Petrol,Dealer,Manual,0
Hyundaii10MAGNA,2009,1.49,4.62,72565,Petrol,Dealer,Manual,1
MarutiCelerioVXI,2019,5.04,5.74,24060,Petrol,Dealer,Manual,0
Hyundaii20MAGNAO1.4,2014,3.58,8.38,56549,Diesel,Dealer,Manual,0
Hyundaii20SPORTZ1.2,2014,5.1,7.03,21100,Petrol,Dealer,Manual,0
Hyundaii20MAGNAO,2012,3.25,7.03,48219,Petrol,Dealer,Manual,0
Hyundaii10SPORTZ1.2,2013,2.39,4.77,107693,Petrol,Dealer,Manual,0
MarutiVitaraBrezzaZDIPLUSDUAL,2016,7.83,10.14,35989,Diesel,Dealer,Manual,0
MarutiRitz,2012,2.32,5.7,68342,Diesel,Dealer,Manual,0
MarutiRitz,2010,2.79,5.7,104928,Diesel,Dealer,Manual,1
SkodaSuperbELEGANCE1.8TSI,2012,4.33,22.33,84474,Petrol,Dealer,Automatic,3
MarutiSwiftLXI,2016,4.7,5.92,61191,Petrol,Dealer,Manual,1
HyundaiSantroXingXLERLXEURO,2007,1.04,3.8,124360,Petrol,Dealer,Manual,1
HyundaiGrandi10ASTA1.1(O),2014,3.91,7.11,64460,Diesel,Dealer,Manual,0
HyundaiGrandi10MAGNA1.2,2015,3.72,4.62,49341,Petrol,Dealer,Manual,0
HondaCityVMT,2015,6.57,11.46,65099,Petrol,Dealer,Manual,1
Hyundaii10MAGNA1.1,2012,2.79,4.62,87828,Petrol,Dealer,Manual,0
HyundaiElitei20SPORTZ,2017,6.37,8.74,46056,Diesel,Dealer,Manual,0
AudiA62.0,2013,13.19,45.45,176188,Diesel,Dealer,Automatic,0
Hyundaii10MAGNA1.2,2011,2.96,4.62,63546,Petrol,Dealer,Manual,0
Hyundaii10MAGNA1.1,2015,3.3,4.62,26939,Petrol,Dealer,Manual,0
HyundaiCreta1.6E+,2017,8.01,10.01,26151,Petrol,Dealer,Manual,0
RenaultDuster85PS,2015,4.84,9.31,67407,Diesel,Dealer,Manual,0
MarutiOMNIE8,2014,1.72,3.07,40141,Petrol,Dealer,Manual,0
MarutiSwift,2018,5.56,6.81,11784,Petrol,Dealer,Manual,0
MarutiWagonR1.0LXI,2013,3.01,5.47,121435,Petrol,Dealer,Manual,0
Hyundaii20MAGNA1.2,2009,2.75,7.03,82682,Petrol,Dealer,Manual,1
HyundaiEonDLITE,2013,2.37,3.35,27748,Petrol,Dealer,Manual,0
MarutiWagonR1.0,2010,2.48,5.49,70903,Petrol,Dealer,Manual,1
MarutiSwiftDzireVXI1.2BS,2015,5.38,6.79,78713,Petrol,Dealer,Manual,0
MarutiSwiftDzireVXI1.2BS,2013,4.95,6.58,56518,Petrol,Dealer,Manual,1
Hyundaii20MAGNA1.2,2009,1.68,7.03,119575,Petrol,Dealer,Manual,3
MarutiCelerio,2019,4.79,5.23,10412,Petrol,Dealer,Manual,0
HondaAmaze1.2EXMTI,2014,3.3,6.58,71800,Petrol,Dealer,Manual,0
HyundaiSantroXingGL,2011,2.63,3.8,49419,Petrol,Dealer,Manual,1
FordFigo1.4EXI,2013,1.77,5.73,109104,Diesel,Dealer,Manual,0
HyundaiEonERA,2018,3.38,3.64,3308,Petrol,Dealer,Manual,0
MarutiWagonR1.0LXI,2015,3.22,5.47,43781,Petrol,Dealer,Manual,0
MarutiRitzVXIBS,2013,4.2,5.06,34146,Petrol,Dealer,Manual,0
MarutiCiazZXI,2015,4.73,9.13,107589,Petrol,Dealer,Manual,0
HyundaiElitei20ASTA1.4,2015,5.61,9.38,79445,Diesel,Dealer,Manual,0
HyundaiElitei20SPORTZ,2017,7.28,8.29,32307,Diesel,Dealer,Manual,0
ChevroletBeatPS,2012,1.44,5.27,98452,Diesel,Dealer,Manual,1
MarutiAltoK10,2012,2.55,3.72,38617,Petrol,Dealer,Manual,0
HondaCitySMT,2009,2.59,8.84,99003,Petrol,Dealer,Manual,1
MarutiSwiftVDI,2015,3.9,6.96,92527,Diesel,Dealer,Manual,0
HyundaiElitei20MAGNA1.4,2014,5.14,7.68,169453,Diesel,Dealer,Manual,0
MarutiAlto,2010,1.74,3.92,34854,Petrol,Dealer,Manual,0
HondaBrio1.2VXMTI,2013,2.66,6.01,65667,Petrol,Dealer,Manual,1
ToyotaInnova2.5VX8STRBS,2014,9.26,15.91,143740,Diesel,Dealer,Manual,1
MarutiCiazDELTA1.5SHVS,2018,7.37,9.42,23999,Petrol,Dealer,Manual,0
Hyundaii10MAGNA,2009,1.8,5.92,89576,Petrol,Dealer,Manual,1
ToyotaCorollaAltisD4D,2011,4.64,14.84,137352,Diesel,Dealer,Manual,0
MarutiErtiga,2015,5.3,8.35,98137,Petrol,Dealer,Manual,0
HyundaiGrandi10Sportz1.2,2017,4.86,6.38,41100,Diesel,Dealer,Manual,0
MarutiWagonR1.0LXI,2014,3.46,5.47,56607,Petrol,Dealer,Manual,0
MarutiSX4ZXIMTLEATHERBS,2008,1.31,8.52,150248,Petrol,Dealer,Manual,3
HyundaiEonERA,2014,2.04,4.35,83546,Petrol,Dealer,Manual,1
ToyotaEtiosLiva,2011,2.74,5.68,21763,Petrol,Dealer,Manual,0
MarutiSwiftDzireLDIBS,2013,3.05,6.46,122165,Diesel,Dealer,Manual,0
MarutiSwiftDzireVDIBS,2012,3.52,6.46,46299,Diesel,Dealer,Manual,0
MarutiWagonR1.0,2013,3.18,5.49,18325,Petrol,Dealer,Manual,0
SkodaRapid1.6TDIMT,2012,4.27,9.22,63473,Diesel,Dealer,Manual,1
Hyundaii10,2007,2.28,6.55,79620,Petrol,Dealer,Manual,3
ToyotaFortuner3.0MT,2012,10.45,27.32,96301,Diesel,Dealer,Manual,1
VolkswagenPoloTRENDLINE1.2L,2012,2.56,5.48,42069,Petrol,Dealer,Manual,0
MarutiCelerioVXI,2016,3.62,5.47,123057,Petrol,Dealer,Manual,1
HyundaiGrandi10MAGNA1.2KAPPA,2016,4.13,6.38,34558,Petrol,Dealer,Manual,0
MarutiOMNIE8,2015,1.68,3.07,147413,Petrol,Dealer,Manual,0
MarutiWagonR1.0,2012,2.67,5.49,32808,Petrol,Dealer,Manual,0
BMW5Series,2008,10.51,64.49,94020,Petrol,Dealer,Automatic,0
MarutiSwiftDzireVDIBS,2012,3.16,6.46,75435,Diesel,Dealer,Manual,0
HondaCityVMT,2013,4.78,11.46,40028,Petrol,Dealer,Manual,1
